897 0 0 0  8650 8891 7715 8095 8908 9017 8128 9411 8045 8706 9561 8925 9138 8961 
905 0 0 0  8634 8875 7714 8089 8910 9013 8137 9364 8033 8686 9561 8885 9125 8961 
913 0 0 0  8652 8883 7702 8090 8917 9025 8145 9360 8037 8693 9577 8884 9113 8972 
920 0 0 0  8666 8895 7689 8103 8922 9030 8140 9403 8041 8697 9581 8910 9114 8972 
928 0 0 0  8657 8908 7687 8119 8936 9043 8131 9421 8056 8699 9572 8912 9117 8970 
936 0 0 0  8659 8929 7692 8128 8946 9073 8138 9407 8079 8719 9577 8908 9116 8980 
944 0 0 0  8668 8945 7691 8127 8944 9091 8149 9407 8080 8730 9583 8913 9119 8987 
952 0 0 0  8660 8939 7690 8128 8944 9085 8141 9416 8073 8721 9578 8911 9122 8982 
960 0 0 0  8660 8935 7690 8131 8944 9083 8130 9417 8076 8723 9575 8909 9117 8983 
967 0 0 0  8681 8935 7686 8121 8945 9087 8136 9396 8077 8730 9580 8908 9102 8991 
975 0 0 0  8681 8919 7680 8100 8943 9074 8145 9368 8070 8726 9580 8888 9090 8990 
984 0 0 0  8664 8899 7683 8088 8938 9058 8151 9364 8066 8721 9570 8874 9094 8981 
991 0 0 0  8664 8909 7691 8105 8937 9065 8162 9376 8069 8726 9565 8892 9110 8983 
999 0 0 0  8673 8933 7692 8126 8941 9077 8163 9394 8069 8742 9578 8912 9120 8990 
1006 0 0 0  8669 8936 7692 8124 8944 9076 8155 9405 8069 8755 9587 8912 9112 8988
